kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
224,Specjaliści do spraw ratownictwa medycznego,"Specjaliści do spraw ratownictwa medycznego świadczą usługi medyczne w zakresie doradztwa, diagnozy, leczenia i profilaktyki, których zasięg i kompleksowość są bardziej ograniczone niż w przypadku lekarzy. Pracują indywidualnie lub pod nadzorem lekarzy i stosują zaawansowane procedury kliniczne w leczeniu i profilaktyce chorób, obrażeń i innych rodzajów upośledzenia fizycznego lub umysłowego często występujących w danych społecznościach.",,"Zadania wykonywane w tej grupie obejmują: badania fizykalne pacjentów i rozmowy z nimi i ich rodzinami mające na celu określenie ich stanu zdrowia i rejestrowanie informacji medycznych o pacjentach; przeprowadzanie podstawowych lub bardziej rutynowych zabiegów medycznych i chirurgicznych, w tym przepisywanie leków, zlecanie leczenia i innych środków profilaktycznych lub leczniczych oraz ich nadzorowanie, szczególnie w przypadku często występujących chorób i schorzeń; zlecanie i wykonywanie badań diagnostycznych, takich jak: zdjęcia rentgenowskie, elektrokardiogram i badania laboratoryjne; wykonywanie zabiegów, takich jak: zastrzyki, szczepienia, zakładanie szwów i opatrywanie ran oraz leczenie infekcji; pomaganie lekarzom podczas skomplikowanych operacji chirurgicznych; monitorowanie stanu pacjentów i reakcji na leczenie, oraz rozpoznawanie sygnałów i objawów wymagających skierowania do lekarza; udzielanie pacjentom i rodzinom porad dotyczących diety, ćwiczeń i innych nawyków pomagających w profilaktyce i leczeniu chorób i zaburzeń; rozpoznawanie skomplikowanych lub nietypowych przypadków i kierowanie ich do lekarzy, szpitali lub innych miejsc specjalistycznej opieki; zgłaszanie organom rządowym urodzeń, zgonów i chorób podlegających obowiązkowi zgłoszenia w celu spełnienia wymogów prawnych i wymogów zgłaszania związanych z wykonywanym zawodem. Do ich zadań może także należeć nadzorowanie innych pracowników.",
225,Lekarze weterynarii,"Lekarze weterynarii zajmują się diagnozowaniem, profilaktyką i leczeniem chorób, obrażeń i dysfunkcji u zwierząt. Mogą leczyć różne gatunki zwierząt lub specjalizować się w leczeniu jednej określonej grupy zwierząt lub w jednym obszarze specjalizacji lub świadczyć usługi dla przedsiębiorstw handlowych produkujących produkty biologiczne i farmaceutyczne.",,"Zadania wykonywane w tej grupie obejmują: rozpoznawanie i określanie rodzaju chorób poprzez badania fizykalne, badania laboratoryjne i z wykorzystaniem technik  diagnozowania za pomocą obrazu, w tym radiografii i badań ultradźwiękowych; farmakologiczne i chirurgiczne leczenie zwierząt oraz podawanie i przepisywanie leków, środków przeciwbólowych oraz znieczulanie ogólne i miejscowe; przeprowadzanie operacji, opatrywanie ran i nastawianie złamanych kości; odbieranie porodów u zwierząt; uczestnictwo w programach mających na celu zapobieganie występowaniu i rozprzestrzenianiu się chorób u zwierząt; szczepienie zwierząt przeciwko chorobom zakaźnym i badania pod kątem takich chorób oraz powiadamianie władz o występowaniu chorób zakaźnych u zwierząt, przeprowadzanie sekcji zwłok w celu określenia przyczyny zgonu; udzielanie porad w kwestii zdrowia, żywienia i karmienia, higieny, rozmnażania zwierząt i opieki nad nimi. Do ich zadań może także należeć nadzorowanie innych pracowników.",
226,Lekarze dentyści,"Lekarze dentyści zajmują się diagnozowaniem, leczeniem i profilaktyką chorób, obrażeń i nieprawidłowości uzębienia, jamy ustnej, szczęki i okolic przyległych z zastosowaniem zasad i procedur współczesnej stomatologii. Stosują szeroki zakres specjalistycznych technik diagnostycznych, chirurgicznych i innych w celu promowania i przywracania zdrowia jamy ustnej.",,"Zadania wykonywane w tej grupie obejmują: diagnozowanie chorób, obrażeń, nieprawidłowości i wad uzębienia i struktur przyległych w jamie ustnej i szczęce z zastosowaniem różnych metod, takich jak: radiogram, badania śliny i historie chorób; świadczenie usług z zakresu profilaktycznej opieki stomatologicznej, takich jak: leczenie chorób ozębnej, fluoryzacja i promowanie zdrowia zębów; podawanie znieczulenia w celu ograniczenia bólu u pacjentów podczas zabiegów; przepisywanie leków przeciwbólowych do uśmierzania bólu po zabiegach; świadczenie usług z zakresu leczenia protetycznego, takiego jak: implanty, uzupełnienia protetyczne – mosty i korony i ortodoncji oraz naprawy uszkodzonych zębów i leczenia próchnicy; przeprowadzanie zabiegów chirurgicznych takich jak ekstrakcja zębów i biopsja oraz leczenie ortodontyczne; dokonywanie pomiarów i pobieranie wycisków szczęk pacjentów w celu określenia kształtu i wielkości protez dentystycznych; projektowanie, wykonywanie i dopasowywanie materiałów protetycznych, takich jak: mosty i protezy lub sporządzanie instrukcji dotyczących ich produkcji lub wytycznych dla techników protez dentystycznych; przywracanie funkcji jamy ustnej za pomocą stałych i ruchomych protez dentystycznych; pomoc w diagnozowaniu chorób ogólnych mających wpływ na stan jamy ustnej takich jak cukrzyca; edukację pacjentów i ich rodzin w zakresie higieny dentystycznej, żywienia i innych środków mających na celu utrzymanie zdrowia jamy ustnej; nadzorowanie higienistów, asystentów stomatologicznych i innych pracowników.",
227,Diagności laboratoryjni,"Diagności laboratoryjni świadczą usługi w zakresie przeprowadzania badań laboratoryjnych mających na celu określenie właściwości fizycznych, chemicznych i biologicznych oraz składu płynów ustrojowych, wydzielin i tkanek pobranych dla celów profilaktycznych, diagnostycznych i leczniczych lub sanitarno epidemiologicznych. W swojej pracy stosują nowoczesne, automatyczne analizatory, sprzęt laboratoryjny oraz odczynniki chemiczne.",,"Zadania wykonywane w tej grupie obejmują: badania laboratoryjne mające na celu określenie właściwości fizycznych, chemicznych i biologicznych oraz składu płynów ustrojowych, wydzielin i tkanek pobranych dla celów profilaktycznych, diagnostycznych, leczniczych lub sanitarno-epidemiologicznych; mikrobiologiczne badania laboratoryjne płynów ustrojowych, wydzielin, wydalin i tkanek pobranych dla celów profilaktycznych, diagnostycznych i leczniczych lub sanitarno epidemiologicznych, działania zmierzające do ustalenia zgodności tkankowej. Za wykonywanie czynności diagnostyki laboratoryjnej uważa się także działalność naukową, dydaktyczną i polegającą na kierowaniu laboratorium, prowadzoną w dziedzinie diagnostyki laboratoryjnej przez osobę wpisaną na listę diagnostów laboratoryjnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
228,Farmaceuci,"Farmaceuci zajmują się świadczeniem usług farmaceutycznych polegającym na  sporządzaniu i wytwarzaniu produktów leczniczych, wydawaniu produktów leczniczych i wyrobów medycznych oraz udzielają rzetelnej i obiektywnej informacji dotyczącej działania produktów leczniczych i stosowania wyrobów medycznych w warunkach racjonalizacji farmakoterapii.",,"Zadania zawodowe wykonywane w tej grupie obejmują: sporządzanie i wytwarzanie produktów leczniczych; ocenę jakości leków recepturowych, leków aptecznych i leków gotowych; wydawanie produktów leczniczych i wyrobów medycznych będących przedmiotem obrotu w aptekach, działach farmacji szpitalnej i hurtowniach farmaceutycznych; sporządzanie leków recepturowych i leków aptecznych w aptekach; sprawowanie nadzoru nad wytwarzaniem, obrotem, przechowywaniem, wykorzystaniem i utylizacją produktów leczniczych i wyrobów medycznych, w tym rezerwami państwowymi; udzielanie informacji i porad dotyczących działania i stosowania produktów leczniczych i wyrobów medycznych będących przedmiotem obrotu w aptekach i hurtowniach farmaceutycznych; sprawowanie opieki farmaceutycznej polegającej na dokumentowanym procesie, w którym farmaceuta, współpracując z pacjentem i lekarzem, a w razie potrzeby z przedstawicielami innych zawodów medycznych, czuwa nad prawidłowym przebiegiem farmakoterapii w celu uzyskania określonych jej efektów poprawiających jakość życia pacjenta; prowadzenie działalności dydaktycznej w uczelniach medycznych, badań naukowych i prac rozwojowych w dziedzinie farmacji. Farmaceuci świadczą także usługi farmaceutyczne z wykorzystaniem wiedzy i umiejętności zgodnych z programem szkolenia specjalizacyjnego w danej dziedzinie. Do ich zadań może także należeć nadzorowanie innych pracowników.",
229,Inni specjaliści ochrony zdrowia,"Inni specjaliści ochrony zdrowia świadczą usługi zdrowotne w zakresie stomatologii, farmacji, zdrowia środowiskowego i higieny, bezpieczeństwa i zdrowia w pracy, fizjoterapii, żywienia, terapii słuchu, mowy, wzroku i rehabilitacji. Do tej grupy średniej należą wszyscy specjaliści ochrony zdrowia z wyjątkiem lekarzy, specjalistów medycyny tradycyjnej i komplementarnej, lekarzy weterynarii, pielęgniarek, położnych i ratowników medycznych.",,"Zadania wykonywane w tej grupie obejmują: badanie pacjentów lub klientów w celu określenia rodzaju zaburzenia, choroby lub problemu; opracowywanie i wdrażanie programów leczenia i dokonywanie oceny i dokumentowanie postępów leczenia pacjentów; diagnozowanie i leczenie chorób, obrażeń i wad uzębienia, jamy ustnej, szczęki i okolic przyległych; przechowywanie, przygotowywanie, badanie i wydawanie produktów leczniczych i udzielanie porad dotyczących ich odpowiedniego przyjmowania oraz działań niepożądanych; dokonywanie oceny, planowanie i wdrażanie programów mających na celu rozpoznawanie, monitorowanie i kontrolę czynników środowiska, które mogą mieć potencjalny wpływ na zdrowie ludzi, poprawianie lub przywracanie funkcji motorycznych, zwiększanie możliwości ruchowych, uśmierzanie bólu lub poprawa skutków wpływu żywności i żywienia na zdrowie ludzi; diagnozowanie i leczenie zaburzeń fizycznych mających wpływ na słuch, komunikację lub połykanie lub nieprawidłowości oka i zaburzeń układu wzrokowego; udzielanie klientom porad dotyczących dalszego leczenia i opieki oraz świadczenie usług w zakresie rehabilitacji; kierowanie klientów w razie potrzeby do innych specjalistów ochrony zdrowia lub średniego personelu ochrony zdrowia. Realizują recepty wydane przez lekarzy i innych specjalistów ochrony zdrowia. Wspierają badania, testowanie, przygotowywanie, przepisywanie i monitorowanie terapii medycznych optymalizujących zdrowie ludzi. Do ich zadań może także należeć nadzorowanie innych pracowników.",
231,Nauczyciele akademiccy,"Nauczyciele akademiccy zajmują się przygotowywaniem i wygłaszaniem wykładów oraz prowadzeniem zajęć z przedmiotów w ramach zalecanego programu zajęć na uniwersytecie lub w innej uczelni lub instytucji szkolnictwa wyższego. Prowadzą badania naukowe, przygotowują opracowania i książki naukowe.",,"Zadania wykonywane w te grupie obejmują: opracowywanie programów nauczania, wprowadzanie do nich zmian, przygotowywanie programu zajęć, wygłaszanie wykładów oraz prowadzenie zajęć i seminariów, przeprowadzanie eksperymentów laboratoryjnych; zachęcanie studentów do prowadzenia dyskusji, do kształtowania niezależnych opinii; nadzorowanie w stosownych przypadkach eksperymentalnych i praktycznych działań prowadzonych przez studentów; przeprowadzanie egzaminów i testów oraz ich sprawdzanie i ocenianie; kierowanie badaniami prowadzonymi przez doktorantów lub przez innych członków katedry; prowadzenie badań nad koncepcjami, teoriami i metodami operacyjnymi mającymi zastosowanie w przemyśle i innych dziedzinach oraz rozwijanie ich; przygotowywanie książek, opracowań i artykułów naukowych; uczestniczenie w spotkaniach katedry i wydziału oraz branie udziału w konferencjach i seminariach. Do ich zadań może także należeć nadzorowanie innych pracowników.",
232,Nauczyciele kształcenia zawodowego,"Nauczyciele kształcenia zawodowego zajmują się nauczaniem przedmiotów zawodowych w instytucjach edukacyjnych dla dorosłych i w placówkach oferujących edukację na dalszych etapach oraz nauczaniem tych przedmiotów uczniów starszych klas szkół średnich i policealnych. Przygotowują uczniów do pracy w określonych zawodach lub sektorach zawodowych, w odniesieniu do których nie jest wymagane posiadanie wykształcenia uniwersyteckiego lub wyższego.",,"Zadania wykonywane w tej grupie obejmują: opracowywanie programów nauczania, planowanie programu kursu oraz metod nauczania; określanie potrzeb szkoleniowych uczniów lub pracowników oraz utrzymywanie współpracy z osobami, branżami i innymi sektorami kształcenia w celu zapewnienia właściwego programu kształcenia i programu szkolenia; wygłaszanie wykładów i prowadzenie dyskusji w celu zwiększenia wiedzy i rozwijania kompetencji uczniów; instruowanie uczniów i monitorowanie ich w zakresie korzystania z narzędzi, urządzeń i materiałów oraz zapobiegania występowaniu urazów i szkód; obserwowanie i ocenianie pracy uczniów w celu określania postępów, zapewniania informacji zwrotnej i przedstawiania sugestii dotyczących poprawy; przeprowadzanie testów ustnych, pisemnych lub praktycznych w celu określenia postępów, oceny skuteczności szkolenia i oceny kompetencji; przygotowywanie sprawozdań i prowadzenie dokumentacji dotyczącej ocen uczniów, obecności i szczegółów szkolenia; nadzorowanie projektów indywidualnych lub grupowych, praktyk zawodowych, pracy w laboratorium lub innych elementów szkolenia; udzielanie zindywidualizowanych instrukcji i przeprowadzanie zindywidualizowanych zajęć lub zajęć wyrównawczych; przeprowadzanie zajęć szkoleniowych w miejscu pracy w celu zademonstrowania zasad, technik, procedur lub metod dotyczących określonych przedmiotów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
233,Nauczyciele szkół ponadpodstawowych (z wyjątkiem nauczycieli kształcenia  zawodowego),"Nauczyciele szkół ponadpodstawowych (z wyjątkiem nauczycieli kształcenia zawodowego) zajmują się nauczaniem jednego lub większej liczby przedmiotów w szkołach ponadpodstawowych, z wyjątkiem przedmiotów przygotowujących uczniów do pracy w określonych sektorach zawodowych.",,"Zadania wykonywane w tej grupie obejmują: opracowywanie programów nauczania i wprowadzanie do nich zmian oraz przygotowywanie programów zajęć zgodnie z wytycznymi programowymi; określanie i wprowadzania zasad postępowania i procedur utrzymywania porządku wśród uczniów; przygotowywanie i prowadzenie lekcji, dyskusji i prezentacji z zakresu jednego lub większej liczby przedmiotów; określanie wyraźnych celów wszystkich lekcji, jednostek i projektów oraz informowanie uczniów o tych celach; przygotowywanie materiałów i sal lekcyjnych na potrzeby przeprowadzenia zajęć; dostosowywanie metod nauczania i materiałów szkoleniowych w celu sprostania różnorodnym potrzebom i zainteresowaniom uczniów; obserwowanie i ocenianie wyników i zachowania uczniów; przygotowywanie, przeprowadzanie i ocenianie testów, zadań i egzaminów w celu określenia postępów uczniów; przygotowywanie raportów dotyczących pracy uczniów oraz prowadzenie konsultacji z innymi nauczycielami i z rodzicami; uczestniczenie w spotkaniach dotyczących edukacyjnej lub organizacyjnej polityki szkoły; planowanie i organizowanie zajęć szkolnych, takich jak: wycieczki, imprezy sportowe i koncerty oraz uczestniczenie w nich. Do ich zadań może także należeć nadzorowanie innych pracowników.",
234,Nauczyciele szkół podstawowych i specjaliści do spraw wychowania małego  dziecka,"Nauczyciele szkół podstawowych i specjaliści do spraw wychowania małego dziecka zajmują się nauczaniem kilku przedmiotów w szkołach podstawowych i organizowaniem działań edukacyjnych dla dzieci, które nie osiągnęły jeszcze wieku szkolnego.",,"Zadania wykonywane w tej grupie obejmują: opracowywanie programu nauczania oraz nauczanie kilku przedmiotów w szkołach podstawowych; opracowywanie programu wychowania i nauczania dzieci w wieku przedszkolnym; planowanie i organizowanie zajęć mających na celu rozwijanie u dzieci umiejętności językowych, fizycznych i społecznych; przygotowywanie raportów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
235,Inni specjaliści nauczania i wychowania,"Inni specjaliści nauczania i wychowania zajmują się prowadzeniem badań i udzielaniem porad z zakresu metod nauczania i wychowania; nauczaniem osób z trudnościami w nauce lub o specjalnych potrzebach edukacyjnych; nauczaniem języków obcych dla celów migracyjnych i powiązanych; udzielaniem prywatnych lekcji; nauczaniem sztuki, technologii informatycznych i innych przedmiotów poza strukturami systemu szkół podstawowych, średnich i wyższych oraz świadczeniem innych usług edukacyjnych niesklasyfikowanych gdzie indziej w grupie dużej 23 Specjaliści szkolnictwa.",,"Zadania wykonywane w tej grupie obejmują zazwyczaj: prowadzenie badań oraz opracowywanie metod nauczania i wychowania, kursów i pomocy dydaktycznych i doradzanie w tym zakresie; nauczanie i wychowanie niepełnosprawnych dzieci, młodzieży lub dorosłych lub osób z trudnościami w nauce lub o specjalnych potrzebach edukacyjnych; nauczanie języków obcych dla celów migracyjnych; nauczanie praktycznych i teoretycznych aspektów muzyki, sztuki aktorskiej, tańca, sztuk plastycznych i innych oraz nauczanie ich wykonywania; opracowywanie, planowanie i realizowanie programów szkoleniowych i kursów dla użytkowników technologii informatycznych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
241,Specjaliści do spraw finansowych,"Specjaliści do spraw finansowych zajmują się planowaniem, opracowywaniem i organizowaniem systemów rachunkowości finansowej lub funduszy osób prywatnych, przedsiębiorstw i instytucji publicznych lub prywatnych, administrowaniem nimi, inwestowaniem w nie, zarządzaniem nimi i przeprowadzaniem dotyczących ich analiz ilościowych.",,Zadania wykonywane przez specjalistów ujętych w tej grupie obejmują zazwyczaj: przygotowywanie i organizowanie sprawozdań finansowych organizacji; analizowanie materiałów finansowych organizacji; świadczenie usług doradztwa finansowego na rzecz osób prywatnych i organizacji; przygotowywanie raportów analitycznych dotyczących segmentów gospodarki i całej gospodarki. Do ich zadań może także należeć nadzorowanie innych pracowników.,
242,Specjaliści do spraw administracji i zarządzania,Specjaliści do spraw administracji i zarządzania zajmują się wprowadzaniem różnych koncepcji i teorii związanych z poprawą skuteczności funkcjonowania i zarządzania organizacji i jednostek podległych w organizacjach. Pomagają organizacjom w osiąganiu większej wydajności oraz w rozwiązywaniu problemów organizacyjnych.,,"Zadania wykonywane przez specjalistów ujętych w tej grupie obejmują zazwyczaj: dokonywanie oceny struktury organizacji i sugerowanie ulepszeń; zapewnianie spójności działań operacyjnych organizacji z celami jej polityki; prowadzenie naboru pracowników, ich szkolenie, zapewnianie im możliwości rozwoju i doradzanie im w organizacji; pomaganie podczas określania celów, strategii i planów organizacji. Do ich zadań może także należeć nadzorowanie innych pracowników.",
243,"Specjaliści do spraw sprzedaży, marketingu i public relations","Specjaliści do spraw sprzedaży, marketingu i public relations zajmują się planowaniem, opracowywaniem, koordynowaniem i wdrażaniem programów dotyczących rozpowszechniania informacji służących promowaniu organizacji, towarów i usług; zajmują się reprezentowaniem przedsiębiorstw podczas sprzedaży towarów i usług technicznych, przemysłowych, medycznych, farmaceutycznych oraz towarów i usług z sektora technologii informacyjno-komunikacyjnych (TIK).",,"Zadania wykonywane przez specjalistów ujętych w tej grupie obejmują zazwyczaj: zlecanie i przeprowadzanie badania rynku, analizowanie wyników i planowanie działań marketingu reklamowego i działań w ramach public relations; wspieranie rozwoju przedsiębiorstwa poprzez przygotowywanie i realizowanie polityk i programów marketingowych; planowanie i organizowanie kampanii reklamowych; ocenianie i wybieranie materiałów dostarczonych przez autorów, fotografów, rysowników i inne osoby w celu stworzenia korzystnych materiałów reklamowych; pozyskiwanie i aktualizowanie informacji o towarach i usługach konkurentów oraz na temat warunków rynkowych; ocenianie potrzeb konsumentów oraz prezentowanie im zastosowania towarów i usług; odwiedzanie przedsiębiorstw stałych lub potencjalnych klientów w celu tworzenia możliwości marketingowych i korzystania z już istniejących; ustalanie i negocjowanie cen i warunków kredytu oraz zawieranie umów. Do ich zadań może także należeć nadzorowanie innych pracowników.",
244,Specjaliści do spraw rynku nieruchomości,"Specjaliści do spraw rynku nieruchomości prowadzą działalność zawodową, której przedmiotem jest gospodarowanie nieruchomościami; na zlecenie klientów pośredniczą w obrocie nieruchomościami, dokonują określenia wartości nieruchomości lub zarządzają nieruchomością; wykonują opracowania i ekspertyzy oraz świadczą usługi doradcze w zakresie rynku nieruchomości.",,"Zadania wykonywane przez specjalistów ujętych w tej grupie obejmują zazwyczaj: dokonywanie wizji lokalnej nieruchomości będącej przedmiotem obrotu, wyceny lub administrowania; ustalanie stanu prawnego nieruchomości oraz zbieranie niezbędnych informacji w oparciu o księgi wieczyste, kataster nieruchomości i inne prawnie dopuszczone źródła; ustalanie z klientami warunków nabycia, zbycia, najmu lub dzierżawy nieruchomości i doprowadzanie do zawarcia przez strony stosownych umów; szacowanie i wydawanie opinii o wartości nieruchomości; zarządzanie nieruchomością, zapewnianie właściwej gospodarki ekonomiczno-finansowej nieruchomości i jej właściwej eksploatacji; wykonywanie opracowań i ekspertyz oraz świadczenie usług doradczych w zakresie swojej działalności zawodowej. Do ich zadań może także należeć nadzorowanie innych pracowników.",
251,Analitycy systemów komputerowych i programiści,"Analitycy systemów komputerowych i programiści zajmują się planowaniem, projektowaniem, tworzeniem, testowaniem i ulepszaniem systemów technologii informacyjnych, takich jak: sprzęt, oprogramowanie i inne aplikacje oraz przeprowadzaniem badań i udzielaniem porad w tym zakresie w celu spełnienia określonych wymogów.",,"Zadania wykonywane przez analityków systemów komputerowych i programistów ujętych w tej grupie obejmują zazwyczaj: badanie zastosowań technologii informacyjnych w biznesie i określanie obszarów, w ramach których można by wprowadzić usprawnienia, aby osiągnąć maksymalną skuteczność i wydajność; analizowanie teoretycznych aspektów i metod operacyjnych związanych z wykorzystaniem komputerów; ocenianie, planowanie i projektowanie konfiguracji sprzętu lub oprogramowania dotyczących konkretnych aplikacji; opracowywanie, pisanie, testowanie i utrzymywanie programów komputerowych wykorzystywanych do szczególnych celów; ocenianie, planowanie i projektowanie sieci internetowej, intranetu i systemów multimedialnych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
252,Specjaliści do spraw baz danych i sieci komputerowych,"Specjaliści do spraw baz danych i sieci komputerowych zajmują się projektowaniem, tworzeniem, kontrolowaniem, obsługą techniczną i wspieraniem optymalnej wydajności i bezpieczeństwa systemów i infrastruktury technologii informacyjnej, w tym baz danych, sprzętu komputerowego i oprogramowania, sieci i systemów operacyjnych.",,"Zadania wykonywane przez specjalistów ujętych w tej grupie obejmują zazwyczaj: projektowanie i tworzenie architektury baz danych, struktur danych, słowników i konwencji nazewniczych dotyczących projektów systemów informacyjnych; projektowanie, konstruowanie, modyfikowanie, integrowanie, wdrażanie i testowanie systemów zarządzania bazami danych; opracowywanie i wdrażanie planów bezpieczeństwa, polityki zarządzania danymi, dokumentacji i standardów; zapewnianie obsługi technicznej sieci komputerowych i powiązanych środowisk komputerowych oraz zarządzanie nimi; analizowanie, tworzenie, interpretowanie i ocenianie złożonego projektu systemu i specyfikacji architektury, modeli i diagramów danych w ramach rozwijania, konfigurowania i integrowania systemów komputerowych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
261,Specjaliści z dziedziny prawa,"Specjaliści z dziedziny prawa zajmują się prowadzeniem badań dotyczących problemów prawnych, udzielaniem klientom porad prawnych, bronieniem pozwanych lub występowaniem z oskarżeniem w sądzie, przewodniczeniem posiedzeniom sądowym oraz przygotowywaniem projektów ustaw i aktów wykonawczych.",,"Zadania wykonywane przez specjalistów z dziedziny prawa ujętych w tej grupie zazwyczaj obejmują: udzielanie klientom porad prawnych, podejmowanie czynności prawnych w imieniu klientów i w razie potrzeby występowanie na drogę prawną lub przewodniczenie postępowaniom sądowym i wydawanie wyroków w sądach. Do ich zadań może także należeć sprawowanie nadzoru nad innymi pracownikami.",
262,"Bibliotekoznawcy, archiwiści i muzealnicy","Bibliotekoznawcy, archiwiści i muzealnicy zajmują się tworzeniem i utrzymywaniem zbiorów archiwalnych, bibliotecznych, muzealnych, zbiorów galerii sztuki i podobnych obiektów.",,"Zadania wykonywane przez bibliotekoznawców, archiwistów i muzealników zazwyczaj obejmują: ocenianie lub tworzenie i organizowanie zbiorów archiwalnych i zbiorów artefaktów o znaczeniu historycznym, kulturalnym i artystycznym oraz zapewnianie ich ochrony i konserwacji; organizowanie zbiorów wystawianych w muzeach, galeriach sztuki i podobnych obiektach; tworzenie i prowadzenie usystematyzowanego zbioru udokumentowanych i opublikowanych materiałów oraz udostępnianie ich użytkownikom w bibliotekach i pokrewnych instytucjach; przygotowywanie opracowań naukowych i sprawozdań; prowadzenie badań. Do ich zadań może także należeć sprawowanie nadzoru nad innymi pracownikami.",
263,Specjaliści z dziedzin społecznych i religijnych,"Specjaliści z dziedzin społecznych i religijnych zajmują się prowadzeniem badań, ulepszaniem lub opracowywaniem koncepcji, teorii i metod operacyjnych lub stosowaniem wiedzy związanej z filozofią, polityką, ekonomią, socjologią, antropologią, historią, filologią, językami, psychologią i innymi naukami społecznymi lub świadczą usługi socjalne w celu zaspokojenia potrzeb jednostek i rodzin stanowiących część społeczeństwa.",,"Zadania wykonywane przez specjalistów z dziedzin społecznych i religijnych ujętych w tej grupie zazwyczaj obejmują: opracowywanie i stosowanie rozwiązań obecnych lub przewidywanych problemów gospodarczych, politycznych lub społecznych; badanie i analizowanie wcześniejszych wydarzeń i działań oraz ustalanie pochodzenia i ewolucji rasy ludzkiej; studiowanie pochodzenia i rozwoju języków lub zajmowanie się tłumaczeniami pisemnymi lub ustnymi języków dawnych; studiowanie procesów umysłowych oraz zachowań osób indywidualnych i grup; świadczenie usług socjalnych; przygotowywanie opracowań naukowych i sprawozdań. Do ich zadań może także należeć nadzorowanie innych pracowników.",
264,"Literaci, dziennikarze i filolodzy","Literaci, dziennikarze i filolodzy tworzą dzieła literackie, interpretują i przekazują wiadomości i informacje o sprawach publicznych za pośrednictwem mediów oraz zajmują się tłumaczeniami pisemnymi lub ustnymi.",,"Zadania wykonywane przez literatów, dziennikarzy i filologów zazwyczaj obejmują: tworzenie prac literackich; ocenianie zalet dzieł literackich i innych dzieł sztuki; gromadzenie informacji o bieżących wydarzeniach i pisanie o nich; wynajdywanie, badanie, interpretowanie i przekazywanie wiadomości i informacji o sprawach publicznych za pośrednictwem gazet, telewizji, radia i innych mediów; tłumaczenie pisemne materiałów z jednego języka na inny; tłumaczenie symultaniczne. Do ich zadań może także należeć nadzorowanie innych pracowników.",
265,Twórcy i artyści,"Twórcy i artyści przekazują idee, wrażenia i fakty za pośrednictwem rozmaitych mediów w celu osiągnięcia określonego efektu; interpretują utwory takie, jak partytura, czy scenariusz w celu stworzenia lub wyreżyserowania występu; ponadto są gospodarzami tego typu widowisk lub innych wydarzeń medialnych.",,"Zadania wykonywane przez twórców i artystów ujętych w tej grupie zazwyczaj obejmują: formułowanie i tworzenie wizualnych form sztuki, opracowywanie i pisanie oryginalnej muzyki; opracowywanie, reżyserowanie, prowadzenie prób oraz wystawianie widowisk muzycznych, tanecznych, teatralnych lub produkcji filmowych; przejmowanie odpowiedzialności twórczej, finansowej i organizacyjnej za produkcję programów telewizyjnych, filmów, oraz występów scenicznych; studiowanie scenariuszy, sztuk lub książek oraz przygotowanie i prowadzenie prób ich interpretacji; dokonywanie wyboru i wprowadzanie muzyki, nagrań filmowych oraz innych materiałów rozrywkowych do emisji oraz tworzenie komunikatów handlowych i użyteczności publicznej. Do ich zadań może także należeć nadzorowanie innych pracowników.",
311,"Technicy nauk fizycznych, chemicznych i technicznych","Technicy nauk fizycznych, chemicznych i technicznych wykonują prace techniczne mające na celu pomoc w prowadzeniu badań i praktycznym zastosowaniu pojęć, zasad i metod działania swoistych dla nauk fizycznych, z uwzględnieniem takich obszarów, jak inżynieria, rysunek techniczny lub efektywność ekonomiczna procesów produkcyjnych.",,"Do zadań techników nauk fizycznych, chemicznych i technicznych ujętych w tej grupie należy zazwyczaj: podejmowanie i prowadzenie prac technicznych dotyczących chemii, fizyki, geologii, meteorologii, astronomii, inżynierii lub rysunku technicznego; ustawianie, obsługiwanie i konserwacja przyrządów i sprzętu laboratoryjnego, kontrolowanie przebiegu eksperymentów, dokonywanie obserwacji oraz obliczanie i prowadzenie zapisu wyników; przygotowanie materiałów do eksperymentów, tworzenie badań systemów, pobieranie i badanie próbek; prowadzenie zapisu obserwacji i analizowanie danych; przygotowywanie, korygowanie i interpretowanie rysunków technicznych; schematów tekstowych, schematów montażu obwodu drukowanego lub planów technicznych. Do ich zadań może także należeć nadzorowanie innych pracowników.",
